"LATITUDE","total_hotspot","avg_brightness","avg_frp","max_frp"
-3.79144,1,314.66,3.29,3.29
-3.79097,1,318.36,3.69,3.69
-3.79057,1,325.23,2.19,2.19
-3.78648,1,327.96,2.62,2.62
-3.78203,1,302.45,0.97,0.97
-3.7817,1,339.85,9.12,9.12
-3.78169,1,335.41,5.96,5.96
-3.78168,1,344.03,12.11,12.11
-3.78045,1,339.57,6.69,6.69
-3.7779,1,336.63,4.05,4.05
-3.77345,1,296.83,0.58,0.58
-3.77273,1,339.37,9.15,9.15
-3.76941,1,333.39,5.07,5.07
-3.76925,1,306.95,1.65,1.65
-3.7687,1,332.14,2.38,2.38
-3.76683,1,333.06,5.15,5.15
-3.76365,1,333.01,3.88,3.88
-3.76277,1,337.05,3.86,3.86
-3.76261,1,331.88,41.98,41.98
-3.76226,1,334.56,4.1,4.1
-3.75902,1,327.63,2.31,2.31
-3.75637,1,332.88,3.48,3.48
-3.75093,1,334.11,3.14,3.14
-3.75078,1,332.33,5.2,5.2
-3.74926,1,308.54,2.31,2.31
-3.74829,1,314.55,2.04,2.04
-3.74701,1,339.72,4.5,4.5
-3.74579,1,335.85,2.3,2.3
-3.74402,1,306.66,0.77,0.77
-3.74335,1,333.67,2.25,2.25
-3.74258,1,306.51,0.89,0.89
-3.74028,1,341.29,11.02,11.02
-3.737,1,340.4,4.7,4.7
-3.73633,1,329.51,2.12,2.12
-3.73533,1,303.39,0.89,0.89
-3.73474,1,330.52,2.99,2.99
-3.7341,1,340.5,4.7,4.7
-3.73375,1,335.84,3.71,3.71
-3.73336,1,317.31,3.15,3.15
-3.732,1,306.46,1.21,1.21
-3.73008,1,307.03,1.04,1.04
-3.72985,1,330.95,3.85,3.85
-3.72965,1,325.86,2.12,2.12
-3.72952,1,311.46,0.66,0.66
-3.72851,1,330.86,24.79,24.79
-3.72807,1,343.8,8.27,8.27
-3.72788,1,331.39,1.64,1.64
-3.72787,1,311.41,1.17,1.17
-3.72779,1,333.96,3.4,3.4
-3.72763,1,339.57,3.3,3.3
-3.72753,1,330.9,2.79,2.79
-3.72751,1,335.79,4.28,4.28
-3.72737,1,339.78,10.46,10.46
-3.72724,1,338.57,6.85,6.85
-3.72707,1,302.77,0.7,0.7
-3.72694,1,333.93,4.28,4.28
-3.72662,1,332.8,4.14,4.14
-3.72649,1,334.36,4.69,4.69
-3.72645,1,301.42,0.73,0.73
-3.72642,1,345.6,7.26,7.26
-3.72641,1,341.78,27.37,27.37
-3.72625,1,296.9,0.5,0.5
-3.72621,1,367,7.6,7.6
-3.72609,1,331.02,10.43,10.43
-3.72604,1,301.58,0.59,0.59
-3.72603,1,329.69,1.87,1.87
-3.72601,1,332.45,4.83,4.83
-3.7259,1,328.52,3,3
-3.72578,1,353.98,16.3,16.3
-3.7256,1,331.27,3.18,3.18
-3.72551,1,327.04,3.85,3.85
-3.72549,1,331.37,8.01,8.01
-3.72544,1,336.9,16.34,16.34
-3.72532,1,332.62,1.96,1.96
-3.72515,1,333.37,2.23,2.23
-3.72507,1,317.92,1.75,1.75
-3.72499,1,356.97,13.13,13.13
-3.72497,1,333,3.18,3.18
-3.72483,1,311.09,1.15,1.15
-3.7248,1,333.04,2.76,2.76
-3.72479,1,333.62,2.96,2.96
-3.72459,1,330.93,4.06,4.06
-3.72457,1,327.5,2.2,2.2
-3.72455,1,332.19,26,26
-3.72434,1,330.65,2.92,2.92
-3.7243,1,342.08,9.98,9.98
-3.72426,1,333.24,24.79,24.79
-3.72413,1,328.88,2.1,2.1
-3.72393,1,346.03,7.44,7.44
-3.72382,1,335.35,4.67,4.67
-3.72369,1,339.78,9.93,9.93
-3.72359,1,338.57,10.21,10.21
-3.72355,1,337.13,5.74,5.74
-3.72343,1,340.09,5.34,5.34
-3.7232,1,329.8,4.07,4.07
-3.72283,1,347.88,4.79,4.79
-3.72278,1,328.27,3.62,3.62
-3.72263,1,337.66,4.22,4.22
-3.72243,1,331.85,1.63,1.63
-3.72196,1,336.01,9.52,9.52
-3.72002,1,331.72,6.94,6.94
-3.71915,1,310.14,1.99,1.99
-3.71871,1,339.96,6.18,6.18
-3.71702,1,339.09,12.34,12.34
-3.71644,1,304.42,0.69,0.69
-3.71634,1,327.94,1.58,1.58
-3.71497,1,330.93,4.36,4.36
-3.71432,1,328.39,2.21,2.21
-3.71413,1,310.46,1.09,1.09
-3.71397,1,308.2,0.75,0.75
-3.71373,1,367,28.07,28.07
-3.71316,1,351.48,36.39,36.39
-3.71143,1,304.47,0.58,0.58
-3.71125,1,334.56,3.72,3.72
-3.7092,1,331.08,9.08,9.08
-3.70886,1,331.65,2.9,2.9
-3.70589,1,330.74,9.91,9.91
-3.70519,1,332.13,2.9,2.9
-3.70395,1,336.87,9.11,9.11
-3.70259,1,367,11.35,11.35
-3.69876,1,317.92,2.95,2.95
-3.69871,1,333.6,6.19,6.19
-3.69856,1,303.42,0.82,0.82
-3.69842,1,328.3,4.07,4.07
-3.69801,1,327.04,2.47,2.47
-3.69615,1,333.48,2.68,2.68
-3.69606,1,333.61,4.16,4.16
-3.69505,1,356.29,15.09,15.09
-3.69471,1,339.87,13.5,13.5
-3.69386,1,346.86,10.02,10.02
-3.69281,1,328.91,3.24,3.24
-3.6925,1,333.75,6.89,6.89
-3.69116,1,330.15,1.29,1.29
-3.69037,1,332.54,3.01,3.01
-3.69004,1,311.02,2.01,2.01
-3.68992,1,331.74,2.7,2.7
-3.68975,1,337.51,3.72,3.72
-3.68948,1,305.21,0.78,0.78
-3.68913,1,340.42,3.56,3.56
-3.68911,1,295.7,1.04,1.04
-3.68904,1,331.62,2.03,2.03
-3.68903,1,330.85,2.79,2.79
-3.68882,1,337.46,4.27,4.27
-3.68861,1,335.26,5.71,5.71
-3.6885,1,350.25,24.79,24.79
-3.68825,1,331.89,6.42,6.42
-3.68787,1,337.1,11.08,11.08
-3.68786,1,327.84,3.07,3.07
-3.68775,1,337.09,5.37,5.37
-3.68773,1,336.09,5.6,5.6
-3.68751,1,330.51,12.95,12.95
-3.68749,1,331.71,6.32,6.32
-3.68732,1,335.14,10.83,10.83
-3.68715,1,337.95,13.26,13.26
-3.68671,1,331.07,2.64,2.64
-3.68643,1,339.2,5.27,5.27
-3.68627,1,332.12,2.75,2.75
-3.68605,1,344.98,8.66,8.66
-3.68587,1,367,10.05,10.05
-3.68523,1,337.13,3.02,3.02
-3.68513,1,315.56,1.13,1.13
-3.68469,1,333.12,3.06,3.06
-3.68395,1,330.81,2.8,2.8
-3.68249,1,337.04,3.71,3.71
-3.68181,1,309.72,1.35,1.35
-3.68171,1,341.82,25.72,25.72
-3.68157,1,341.53,9.04,9.04
-3.67944,1,338.15,4.98,4.98
-3.67858,1,330.87,2.58,2.58
-3.67828,1,337.51,25.09,25.09
