"cluster","n","pct","center_lon","center_lat","avg_frp"
"1",722,25.9,105.863957728532,-2.35814789473684,8.73
"2",894,32,103.04240253915,-2.19183270693512,6.86795302013423
"3",1177,42.1,103.59772184367,-3.6116227017842,6.79206457094308
